,BVP,ACC,EDA,HR,EM1,EM2
0,64.0,32.0,4.0,1.0,0,-1
1,85.71,38.0,0.039712,86.0,0,-1
2,148.81,44.0,0.008967000000000001,97.0,0,-1
3,11.23,23.0,0.008967000000000001,93.0,0,-1
4,47.26,17.0,0.017934000000000002,84.25,0,-1
5,-477.81,8.0,0.032026,79.0,0,-1
6,-8.15,8.0,0.029463999999999997,80.0,0,-1
7,-19.94,7.0,0.029463999999999997,80.71,0,-1
8,8.38,5.0,0.040993,81.12,0,-1
9,2.73,10.0,0.046117,82.11,0,-1
10,-103.8,21.0,0.03715,82.8,0,-1
11,-68.45,-14.0,0.023058000000000002,83.36,0,-1
12,-28.76,-23.0,0.024339,83.67,0,-1
13,-210.73,-18.0,0.024339,83.85,0,-1
14,199.63,7.0,0.026900999999999998,83.86,0,-1
15,-10.42,28.0,0.020496,84.47,0,-1
16,185.03,7.0,0.01281,85.06,0,-1
17,122.77,21.0,0.01281,85.94,0,-1
18,35.58,29.0,0.01281,87.06,0,-1
19,-447.43,-1.0,0.020496,88.0,0,-1
20,294.42,-2.0,0.017934000000000002,88.9,0,-1
21,-7.28,-14.0,0.011529000000000001,89.81,0,-1
22,-314.18,2.0,0.014091,90.59,0,-1
23,210.0,-1.0,0.011529000000000001,91.3,0,-1
24,-38.49,18.0,0.008967000000000001,91.88,0,-1
25,-71.08,47.0,0.010248,92.44,0,-1
26,265.73,6.0,0.01281,92.92,0,-1
27,13.61,-22.0,0.008967000000000001,93.33,0,-1
28,-113.01,-13.0,0.006405,93.68,0,-1
29,80.32,-28.0,0.016653,93.93,0,-1
30,405.81,-27.0,0.02562,94.2,0,-1
31,-29.07,28.0,0.028183,94.52,0,-1
32,81.87,6.0,0.01281,94.31,0,-1
33,267.01,2.0,0.017934000000000002,94.12,0,-1
34,93.46,25.0,0.016653,93.94,0,-1
35,-93.52,37.0,0.019215,93.77,0,-1
36,213.7,15.0,0.014091,93.67,0,-1
37,53.0,5.0,0.016653,93.54,0,-1
38,109.62,8.0,0.024339,93.34,0,-1
39,-33.74,10.0,0.032026,93.21,0,-1
40,-7.3,16.0,0.02562,93.1,0,-1
41,-29.54,19.0,0.026900999999999998,93.05,0,-1
42,4.28,17.0,0.024339,92.98,0,-1
